src_name,n_transcripts,from_date,to_date
international socialist tendency,55,2011-03-18 00:00:00,2014-03-12 00:00:00
iskra republican socialist blog,18,2011-09-21 00:00:00,2011-12-18 00:00:00
isle of wight county press,5592,2012-01-01 00:00:00,2014-09-14 00:00:00
journal live,8775,2012-01-01 00:00:00,2013-06-27 00:00:00
kenilworth weekly news,1148,2012-01-01 04:11:00,2013-08-07 00:00:00
kingston guardian,5569,2010-02-09 00:00:00,2014-08-25 00:00:00
lancashire evening post,12836,2011-12-27 07:24:00,2014-04-02 00:00:00
lancashire evening telegraph,7987,2010-07-09 00:00:00,2014-05-03 00:00:00
lancashire telegraph,14232,2010-01-06 00:00:00,2014-07-08 00:00:00
league for the fifth international on facebook,26,2010-10-08 00:00:00,2011-12-14 00:00:00
leamington observer,1504,2012-11-23 00:00:00,2015-02-04 00:00:00
leicester mercury,19822,2012-01-01 00:00:00,2013-09-01 00:00:00
leigh journal,4266,2010-06-16 00:00:00,2014-08-25 00:00:00
lincolnshire echo,11841,2012-01-01 00:00:00,2013-12-17 00:00:00
lionheart [paul ray] blog,18,2012-08-25 00:00:00,2012-12-26 00:00:00
liverpool antifascists,466,2012-02-15 00:00:00,2014-12-04 00:00:00
liverpool division english defence league on facebook,171,2012-01-14 00:00:00,2012-03-05 00:00:00
liverpool echo,31745,2010-10-25 00:00:00,2013-03-11 00:00:00
local london,13308,2010-05-09 00:00:00,2014-07-12 00:00:00
london turkish gazette,158,2012-01-04 09:02:00,2012-05-10 18:50:00
look left mag on twitter,177,2012-01-15 00:00:00,2012-05-21 00:00:00
look left magazine on facebook,113,2011-12-27 00:00:00,2012-03-26 00:00:00
louth leader,2459,2011-12-05 00:00:00,2013-08-09 00:00:00
lrusgslpm on facebook,28,2010-06-07 00:00:00,2012-03-21 00:00:00
lurgan mail,3717,2010-02-18 00:00:00,2013-08-30 00:00:00
luton news herald and post,1529,2012-01-01 00:00:00,2012-07-04 00:00:00
lynn news,2400,2012-01-01 00:00:00,2012-07-04 00:00:00
macclesfield express,499,2012-01-03 00:00:00,2013-04-15 00:00:00
manchester evening news,371,2010-05-26 00:00:00,2012-06-23 00:00:00
manchester online,12576,2010-04-19 00:00:00,2013-01-23 04:06:00
mansfield and ashfield chad,3631,2011-12-15 00:00:00,2015-01-27 00:00:00
matlock mercury,2387,2011-12-29 00:00:00,2013-08-30 00:00:00
meat info,2170,2012-01-03 00:00:00,2015-02-04 00:00:00
melton times,4016,2011-12-27 00:00:00,2013-12-13 13:04:00
merlin - medical emergency relief international,19,2012-01-04 00:00:00,2012-03-22 00:00:00
metro,14411,2012-01-01 00:00:00,2015-02-04 00:00:00
mid devon star,185,2010-02-12 00:00:00,2012-02-21 17:19:00
mid sussex times,776,2011-12-07 00:00:00,2013-07-01 00:00:00
morning star,7287,2012-01-01 16:28:00,2013-06-30 00:00:00
morning star online,1368,2013-05-23 00:00:00,2013-08-29 00:00:00
morpeth herald,2510,2012-01-01 04:37:00,2013-08-05 00:00:00
muslim defence league on facebook,262,2012-01-11 00:00:00,2012-03-30 00:00:00
national institute of agricultural botany niab,644,2012-01-21 00:00:00,2015-02-03 00:00:00
new agriculturist,35,2013-05-29 00:00:00,2014-01-24 00:00:00
new internationalist,287,2012-01-23 00:00:00,2013-01-18 00:00:00
new statesman,99,2010-03-25 00:00:00,2012-04-02 00:00:00
newbury today,5100,2010-01-12 00:00:00,2014-09-15 00:00:00
