OutletID,Outlet,Type,JournalistID,Twitter Handle,Journalist,Website,Owner,Nexis,NexisBeginning,NexisEnd,Newsbank,NewsbankBeginning,NewsbankEnd,Type,Publication,Category,City,Notes
1600,Daily Star of Scotland and Daily Star Sunday,Newspaper,1600,@Daily_Star,,http://www.dailystar.co.uk/,Richard Desmond,1,12/01/00,Current,,,,National Tabloid,Sunday,Tabloid,,
1600,Daily Star of Scotland and Daily Star Sunday,Journalist,1601,@trawle91,Tom Rawle,http://www.dailystar.co.uk/,Richard Desmond,,,,,,,,,,,Assistant News Editor
1600,Daily Star of Scotland and Daily Star Sunday,Journalist,1602,@NadzMendoza,Nadia Mendoza,http://www.dailystar.co.uk/,Richard Desmond,,,,,,,,,,,Digital Showbiz Editor
1600,Daily Star of Scotland and Daily Star Sunday,Journalist,1603,@LauraMitchell15,Laura Mitchell,http://www.dailystar.co.uk/,Richard Desmond,,,,,,,,,,,Digital Travel & Lifestyle Editor
1600,Daily Star of Scotland and Daily Star Sunday,Journalist,1604,@jackhardwick93,Jack Hardwick,http://www.dailystar.co.uk/,Richard Desmond,,,,,,,,,,,Online Showbiz Reporter
1800,"Daily Telegraph, The, The Sunday Telegraph and The Sunday Telegraph Scotland",Newspaper,1800,@Telegraph,,http://www.telegraph.co.uk/,Telegraph Media Group,1,10/30/00,Current,1,10/01/00,Current,National Broadsheet,Daily,Broadsheet/Former Broadsheet,,
1800,"Daily Telegraph, The, The Sunday Telegraph and The Sunday Telegraph Scotland",Newspaper,1801,@TelegraphNews,,,,,,,,,,,,,,
1800,"Daily Telegraph, The (Scottish edition) ",Newspaper,1802,,,,,,,,,,,National Broadsheet Scotland,,Scotland ,,
1800,"Daily Telegraph, The, The Sunday Telegraph and The Sunday Telegraph Scotland",Journalist,1803,@JeremyWarnerUK,Jeremy Warner,http://www.telegraph.co.uk/,Telegraph Media Group,,,,,,,,,,,Associate Editor and Economics Columnist
1800,"Daily Telegraph, The, The Sunday Telegraph and The Sunday Telegraph Scotland",Journalist,1804,@paul_kendall,Paul Kendall,http://www.telegraph.co.uk/,Telegraph Media Group,,,,,,,,,,,Associate Editor - Culture
1800,"Daily Telegraph, The, The Sunday Telegraph and The Sunday Telegraph Scotland",Journalist,1805,@jameskirkup,James Kirkup,http://www.telegraph.co.uk/,Telegraph Media Group,,,,,,,,,,,Executive Politics Editor
1800,"Daily Telegraph, The, The Sunday Telegraph and The Sunday Telegraph Scotland",Journalist,1806,@simon_telegraph,Simon Johnson,http://www.telegraph.co.uk/,Telegraph Media Group,,,,,,,,,,,Scottish Political Editor
1800,"Daily Telegraph, The, The Sunday Telegraph and The Sunday Telegraph Scotland",Journalist,1807,@christopherhope,Christopher Hope,http://www.telegraph.co.uk/,Telegraph Media Group,,,,,,,,,,,Chief Political Correspondent
1800,"Daily Telegraph, The, The Sunday Telegraph and The Sunday Telegraph Scotland",Journalist,1808,@davidblairdt,David Blair,http://www.telegraph.co.uk/,Telegraph Media Group,,,,,,,,,,,Chief Foreign Correspondent
